TIME,BATTERY_LEVEL,CPU_FREQ_0,CPU_FREQ_1,CPU_FREQ_2,CPU_FREQ_3,CPU_FREQ_4,CPU_FREQ_5,CPU_FREQ_6,CPU_FREQ_7,TOTAL_MEM,FREE_MEM,USED_MEM
1560023418960,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418961,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418962,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418963,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418964,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418965,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418966,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418967,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418968,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418969,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418970,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418971,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418972,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418973,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418974,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418975,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418976,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418977,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418978,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,739196928,3100250112
1560023418979,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418980,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418981,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418982,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418983,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418984,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418985,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418986,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418987,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418988,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418989,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418990,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418991,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418992,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418993,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418994,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418995,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418996,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738656256,3100790784
1560023418997,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023418998,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023418999,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419000,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419001,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419002,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419003,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419004,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419005,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419006,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419007,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419008,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419009,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419010,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419011,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419012,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419013,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,738889728,3100557312
1560023419014,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419015,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419016,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419017,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419018,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419019,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419020,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419021,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419022,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419023,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419024,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419025,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419026,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419027,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419028,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419029,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419030,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419031,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419032,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419033,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,736014336,3103432704
1560023419034,98,1900.8,1900.8,1900.8,1900.8,2457.6,2457.6,2457.6,2457.6,3839447040,735961088,3103485952
